epoch,accuracy,loss,val_accuracy,val_loss
0,0.33822146,1.7563775104391623,0.4388408958911896,1.5251311331813002
1,0.44174302,1.5041924754198601,0.4416272044181824,1.5311082242158969
2,0.47633147,1.4012950190871962,0.4859292209148407,1.4578160109311367
3,0.49900728,1.3384410552339223,0.5250766277313232,1.2706101871393756
4,0.51558745,1.2928734149440892,0.5274449586868286,1.2736195723769326
5,0.531053,1.253918868524826,0.5284201502799988,1.247331882725522
6,0.5389947,1.2268852505249896,0.5419337153434753,1.2334469809409934
7,0.54794663,1.2060118640406328,0.5391473770141602,1.2231239247833596
8,0.5544254,1.189178726122444,0.4803566336631775,1.4152472949220662
9,0.5609391,1.1754738520880827,0.546252429485321,1.2416051961678787
10,0.5680797,1.1601346835014965,0.5600445866584778,1.168013608365977
11,0.5713888,1.147402744506809,0.5488994121551514,1.181338076905043
